place_id,osm_id,name,alt_names,lat,lon,address,province_code,district_code,ward_code,categories,subcategories,tags,verified,last_updated,source,popularityScore,rating
HN-OSM-4614,N12313923069,Phở bò,,21.0117973,105.8174393,,HN,,,restaurant,phở,,False,2025-11-25,osm,,
HN-OSM-4615,N12313947065,Phở Tuấn C8 Giảng Võ,,21.0281525,105.8226197,,HN,,,restaurant,phở;vietnamese,,False,2025-11-25,osm,,
HN-OSM-4616,N12323861042,Highlands Coffee,Highlands Coffee,20.9965723,105.8694166,,HN,,,cafe,coffee_shop;vietnamese,,False,2025-11-25,osm,,
HN-OSM-4617,N12328253201,Unique Bread,,21.0457193,105.8414582,"36, Phố Lạc Chinh",HN,,,fast_food,vietnamese,,False,2025-11-25,osm,,
HN-OSM-4618,N12328522137,VPBank,,21.0534677,105.8374933,"109, Đ. Nghi Tàm, Tây Hồ",HN,TH,,bank,,,False,2025-11-25,osm,,
HN-OSM-4619,N12331430862,KFC,,21.007247,105.7936444,,HN,,,fast_food,fried_chicken,,False,2025-11-25,osm,,
HN-OSM-4620,N12331430863,Starbucks,,21.0053804,105.8056588,,HN,,,cafe,coffee_shop,,False,2025-11-25,osm,,
HN-OSM-4621,N12331430864,Katinat,,21.0053411,105.8053639,,HN,,,cafe,coffee_shop,,False,2025-11-25,osm,,
HN-OSM-4622,N12331430865,CGV,CGV Cinema,21.0046149,105.8048772,,HN,,,cinema,,,False,2025-11-25,osm,,
HN-OSM-4623,N12343563164,Chay vegan,,21.0197312,105.8493044,,HN,,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-4624,N12343629708,Đình Cổ Vũ,,21.0316547,105.8499022,,HN,,,place_of_worship,,,False,2025-11-25,osm,,
HN-OSM-4625,N12343630750,King Roti,,21.032434,105.8505782,,HN,,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-4626,N12344217036,PV Power,,21.0179338,105.8133155,,HN,,,charging_station,,,False,2025-11-25,osm,,
HN-OSM-4627,N12372330757,Chickenzip,,21.0090051,105.7744707,"1, Đường Lê Quang Đạo, Nam Từ Liêm",HN,NTL,,restaurant,chicken,,False,2025-11-25,osm,,
HN-OSM-4628,N12372330891,빛나는 초거대 버섯 조각상,,21.0093467,105.7745117,,HN,,,artwork,,,False,2025-11-25,osm,,
HN-OSM-4629,N12372377830,Cộng Cà Phê,,21.0144708,105.776872,"Phố Hoàng Trọng Mậu, Nam Từ Liêm",HN,NTL,,cafe,coffee_shop;vietnamese,,False,2025-11-25,osm,,
HN-OSM-4630,N12372389429,Starbucks,,21.0147137,105.7772099,"Phố Hoàng Trọng Mậu, Nam Từ Liêm",HN,NTL,,cafe,coffee_shop,,False,2025-11-25,osm,,
HN-OSM-4631,N12373245565,Pub Viet (Streaming Formula 1),,21.036702,105.852866,"15C, Phố Chợ Gạo",HN,,,bar,,,False,2025-11-25,osm,,
HN-OSM-4632,N12375798343,Izakaya Unatoto,,21.0296837,105.8105812,"531, Phố Kim Mã, Ba Đình",HN,BD,,restaurant,japanese,,False,2025-11-25,osm,,
HN-OSM-4633,N12378781668,NB Hostel,,21.0629582,105.827684,"17B, Ngõ 9 Phố Đặng Thai Mai, Tây Hồ",HN,TH,,hostel,,,False,2025-11-25,osm,,
HN-OSM-4634,N12378781669,Euphoria Hotel / Label6 Studio,,21.0631866,105.827599,"15F, Ngõ 9 Phố Đặng Thai Mai, Tây Hồ",HN,TH,,hotel,,,False,2025-11-25,osm,,
HN-OSM-4635,N12389716289,Dê Ngon Quán By Chef Thái Râu - 439 Âu Cơ (cơ sở 2),,21.077697,105.8202739,"437, Đường Âu Cơ, Tây Hồ",HN,TH,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-4636,N12392686430,GP Bank,,21.016312,105.8111559,,HN,,,bank,,,False,2025-11-25,osm,,
HN-OSM-4637,N12393379604,Hoa Viên Craft Brewery,,21.0177804,105.8587185,"1A, Phố Tăng Bạt Hổ, Hai Bà Trưng",HN,HBT,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-4638,N12394092001,Pho Ga 26,,21.0326621,105.850539,,HN,,,restaurant,vietnamese,,False,2025-11-25,osm,,
HN-OSM-4639,N12395826102,Com Chay Vegan Buffet (120k),,21.072521,105.8145064,,HN,,,restaurant,vietnamese,,False,2025-11-25,osm,,
HN-OSM-4640,N12398901745,NCB - Ngân hàng Quốc Dân,,21.0402405,105.874908,,HN,,,bank,,,False,2025-11-25,osm,,
HN-OSM-4641,N12398929145,Cửa hàng xăng dầu Bồ Đề,,21.0367485,105.8698983,,HN,,,fuel,,,False,2025-11-25,osm,,
HN-OSM-4642,N12401006208,PG Bank,,21.0299459,105.7862976,Phố Dịch Vọng Hậu,HN,,,bank,,,False,2025-11-25,osm,,
HN-OSM-4643,N12401010417,VPBank,,21.0302106,105.7859691,Phố Dịch Vọng Hậu,HN,,,bank,,,False,2025-11-25,osm,,
HN-OSM-4644,N12402867901,Katze,,21.0328202,105.8538795,,HN,,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-4645,N12404466212,Trang Nhi,,21.0292329,105.8435816,,HN,,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-4646,N12407023001,Silk Hanoi Moment Hotel & Spa,,21.0317882,105.8483705,,HN,,,hotel,,,False,2025-11-25,osm,,
HN-OSM-4647,N12415047802,Phở Lý Quốc Sư,,21.0673319,105.8076802,,HN,,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-4648,N12420688804,22Land Residence Hotel 2,,21.0458397,105.8049916,"2, Phố Nguyễn Đình Hoàn",HN,,,hotel,,,False,2025-11-25,osm,,
HN-OSM-4649,N12420714001,22Housing Moon Westlake Residence,,21.0527053,105.8124844,"185a, Phố Trích Sài",HN,,,hotel,,,False,2025-11-25,osm,,
HN-OSM-4650,N12420718801,DE LA SOIE Hotel & Travel,,21.0323531,105.8514105,"111, Phố Hàng Đào",HN,,,hotel,,,False,2025-11-25,osm,,
HN-OSM-4651,N12425285840,Daksh Yoga Studio Văn Quán,,20.9748842,105.7879461,"Đường 19 Tháng 5, Hà Đông",HN,HD,,fitness_centre,,,False,2025-11-25,osm,,
HN-OSM-4652,N12425291201,Daksh Yoga Studio Hồ Gươm,,20.9790745,105.785637,"102, Trần Phú, Hà Đông",HN,HD,,fitness_centre,,,False,2025-11-25,osm,,
HN-OSM-4653,N12432303401,Phòng khám Tai Mũi Họng 789,ENT Clinic - 789 Apartment complex,21.0247631,105.7715702,"D7, Đường nội khu CC 789, Nam Từ Liêm",HN,NTL,,clinic,,,False,2025-11-25,osm,,
HN-OSM-4654,N12434838529,Highlands Coffee,Highlands Coffee,21.0297216,105.8417379,"01, Đường Lê Duẩn",HN,,,cafe,coffee_shop;vietnamese,,False,2025-11-25,osm,,
HN-OSM-4655,N12434838530,Guardian,,21.0286071,105.8441673,,HN,,,pharmacy,,,False,2025-11-25,osm,,
HN-OSM-4656,N12435798501,La Habanera casa del Ron,,21.0678621,105.8260233,"81C, Đường Xuân Diệu",HN,,,bar,barbecue,,False,2025-11-25,osm,,
HN-OSM-4657,N12441792908,MB CRM,,21.0092561,105.8010697,,HN,,,atm,,,False,2025-11-25,osm,,
HN-OSM-4658,N12447043443,Đình Làng Thanh Trì,,20.9993313,105.884113,,HN,,,place_of_worship,,,False,2025-11-25,osm,,
HN-OSM-4659,N12450474772,MB CRM,,20.9981269,105.7953361,,HN,,,atm,,,False,2025-11-25,osm,,
HN-OSM-4660,N12450474773,MB CRM,,21.0196031,105.8456025,,HN,,,atm,,,False,2025-11-25,osm,,
HN-OSM-4661,N12458554805,Bãi xe tải H13,,20.9878398,105.8968475,Gầm cầu Thanh Trì,HN,,,parking,,,False,2025-11-25,osm,,
HN-OSM-4662,N12458965633,MB CRM,,20.9670311,105.8261162,,HN,,,atm,,,False,2025-11-25,osm,,
HN-OSM-4663,N12458965634,MB CRM,,20.9967129,105.8503734,,HN,,,atm,,,False,2025-11-25,osm,,
HN-OSM-4664,N12458965636,MB CRM,,21.0180557,105.7813917,,HN,,,atm,,,False,2025-11-25,osm,,
